path,A,B,C,D,E,F,G,H,I,J
/,90,100,100,0,100,24,77,,100,100
/__ux-sweep-404-probe,80,100,100,0,100,39,81,,100,100
/about,100,100,100,0,100,42,90,,100,70
/bankhead-national-forest,100,100,0,0,100,39,71,,100,100
/careers,100,100,100,0,100,32,90,100,100,70
/chief-noonday-outdoor-center,100,100,100,0,100,42,81,,100,100
/contact,100,100,100,0,100,42,66,,100,100
/experiences,100,100,100,0,100,42,69,,100,70
/experiences/burlingame-state-park,100,100,50,0,100,42,68,,100,100
/experiences/canal-bridge,100,100,90,0,100,42,68,,100,100
/experiences/categories/campground-rentals,100,100,100,0,100,42,70,,100,70
/experiences/categories/conference-center-rentals,100,100,100,0,100,42,70,,100,70
/experiences/categories/hiking,100,100,100,0,100,42,70,,100,70
/experiences/categories/kayak-and-watercraft-rentals,100,100,100,0,100,42,70,,100,70
/experiences/categories/lookout-pavillions,100,100,100,0,100,42,70,,100,70
/experiences/categories/scenic-drives,100,100,100,0,100,42,70,,100,70
/experiences/celina-lakes-recreation-area,100,100,50,0,100,42,86,,100,100
/experiences/clear-creek-recreation-area,100,100,30,0,100,42,68,,100,100
/experiences/corinth-recreation-area,100,100,40,0,100,42,68,,100,100
/experiences/meramec-state-park,100,100,100,0,100,42,68,,100,100
/hardin-ridge-recreation-area,100,100,100,0,100,42,90,,100,100
/hoosier-national-forest,100,100,100,0,100,42,90,,100,100
/indian-celina-lakes-recreation-area,100,100,100,0,100,42,81,,100,100
/leave-a-review,100,100,100,0,100,42,90,100,100,100
/long-lake-outdoor-center,100,100,50,0,100,42,90,,100,100
/monongahela-national-forest,100,100,20,0,100,39,90,,100,100
/monongahela-national-forest/big-bend-campground,100,100,100,0,100,42,65,,100,70
/monongahela-national-forest/gatewood-group-campground,100,100,100,0,100,42,65,,100,70
/monongahela-national-forest/jess-judy-group-campground,100,100,100,0,100,42,65,,100,70
/monongahela-national-forest/seneca-shadows-campground,100,100,100,0,100,42,65,,100,70
/monongahela-national-forest/spruce-knob-lake-campground,100,100,100,0,100,42,65,,100,70
/monongahela-national-forest/stuart-recreation-area,100,100,100,0,100,42,65,,100,70
/noindex1,100,100,50,0,100,42,72,,100,100
/noindex2,100,100,50,0,100,42,73,,100,100
/privacy,100,100,100,0,100,42,90,,100,70
/refund_returns,100,100,100,0,100,32,90,,100,70
/rewards,100,100,50,0,100,42,90,,100,70
/services,100,100,100,0,100,24,75,,100,70
/services/campground-park-maintenance,100,100,100,0,100,42,65,,100,70
/services/iowa-dot,100,100,100,0,100,42,65,,100,70
/services/landscaping-and-groundskeeping,100,100,100,0,100,42,65,,100,70
/services/preventive-maintenance-and-repairs,100,100,100,0,100,42,65,,100,70
/services/rest-area-cleaning-and-upkeep,100,100,100,0,100,42,65,,100,70
/services/utah-dot,100,100,100,0,100,42,65,,100,70
/small-business-connection,100,100,100,0,100,73,100,,100,70
/sms-terms,100,100,100,0,100,42,90,,100,70
/tipsaw-lake-recreation-area,100,100,100,0,100,42,90,,100,100
/washington-state-park,100,100,0,0,100,42,90,,100,100
/yankee-springs-recreation-area,85,100,100,0,100,42,73,,100,100
